Subject,Session,GamesPlayed,Version,AvgDifficulty,StartDifficulty,EndDifficulty,MinDifficulty,MaxDifficulty,AvgRT,AvgAccuracy
12,1,16,1,4,2,6,2,6,1091.5,86.25
12,2,10,1,6.2,6,7,5,7,1093.5,77.1
12,3,10,1,9.2,7,10,7,11,967.5,81
12,4,10,1,11.3,10,12,10,12,1050.2,75
12,5,10,1,13.6,12,15,12,15,1040.8,75.5
12,6,10,1,17.6,15,20,15,20,1077.6,86.7
12,7,10,1,20.9,20,23,20,23,1137.7,83
12,8,11,1,22.5454545454545,23,22,22,23,1073.72727272727,73
12,9,11,1,22.4545454545455,22,21,21,23,1032.36363636364,70
12,10,11,1,21.0909090909091,21,22,21,22,1069.81818181818,76.3636363636364
12,11,11,1,21.8181818181818,22,21,21,23,1046.18181818182,76.3636363636364
12,12,11,1,21.1818181818182,21,21,20,22,1062.18181818182,74.0909090909091
12,13,11,1,21,21,20,20,22,1120.81818181818,72.7272727272727
12,14,10,1,19.8,20,19,19,21,1114.7,72
12,15,10,1,17.9,20,17,17,20,1049.5,72.7
12,16,10,1,17.5,17,16,16,19,1176.8,69
12,17,11,1,14.7272727272727,15,16,14,16,1033.09090909091,79.0909090909091
12,18,11,1,15.7272727272727,16,14,14,17,1060,72.3636363636364
12,19,11,1,13.0909090909091,14,12,12,14,977.272727272727,72.7272727272727
12,20,11,1,12.7272727272727,12,13,12,14,1114.45454545455,78.8181818181818
12,21,11,1,11.5454545454545,12,10,10,13,1029.72727272727,69.0909090909091
12,22,11,1,10.4545454545455,10,12,9,12,1091.81818181818,79.0909090909091
12,23,11,1,13.3636363636364,12,14,12,14,1089.36363636364,80
12,24,10,1,11.5,14,10,10,14,1120.4,66.6
12,25,9,1,10.2222222222222,10,12,9,12,1151.77777777778,80
12,26,11,1,14.6363636363636,12,16,12,16,1034.63636363636,76.6363636363636
12,27,10,1,15.5,16,15,14,17,1022.7,73.5
12,28,10,1,13.9,15,14,13,15,1052,73.7
12,29,12,1,12.8333333333333,14,12,12,14,1103.16666666667,70.8333333333333
12,30,10,1,10.3,12,9,8,12,1032.9,67
12,31,10,1,8.3,9,8,7,9,1135.2,73
12,32,11,1,9.45454545454546,8,11,8,11,1238,83.6363636363636
12,33,10,1,9.6,11,7,7,11,1176.2,66.5
12,34,10,1,6.3,7,7,5,7,1119.1,75
12,35,11,1,6.27272727272727,7,6,5,7,1155.27272727273,71.1818181818182
12,36,10,1,6.7,6,7,6,7,1327.2,78.3
12,37,11,1,7.81818181818182,7,7,6,9,1105.90909090909,74.1818181818182
12,38,10,1,6.4,7,7,5,7,1121.3,77
12,39,10,1,8.9,7,11,7,11,1063.8,79
12,40,10,1,10.9,11,10,10,12,1089.2,67.3
12,41,11,1,9.72727272727273,10,11,9,11,1142.54545454545,70.9090909090909
12,42,8,1,10.125,10,11,10,11,1067.25,75
12,43,10,1,10.7,11,10,9,12,1047.2,71.1
12,44,12,1,11.4166666666667,10,11,10,13,1016,70
12,45,10,1,9.8,11,9,9,11,1065.1,70
12,46,11,1,6.72727272727273,8,5,5,8,985.181818181818,62.7272727272727
12,47,10,1,6.5,8,5,5,8,1092.1,70
12,48,10,1,7.1,5,8,5,9,1064,79.5
12,1,15,2,5.13333333333333,3,7,3,7,1018.53333333333,90
12,2,11,2,6.63636363636364,7,5,5,8,1006.27272727273,71.4545454545455
12,3,10,2,5.6,5,7,5,7,1008.5,77.7
12,4,10,2,9.6,7,12,7,12,974.5,82
12,5,10,2,14.6,12,17,12,17,1090.8,83.5
12,6,11,2,21.0909090909091,17,25,17,25,970.272727272727,80.9090909090909
12,7,11,2,27.5454545454545,25,29,25,29,1040.72727272727,84.8181818181818
12,8,11,2,32.1818181818182,29,36,29,36,1076.54545454545,89.0909090909091
12,9,11,2,35.4545454545455,36,36,35,36,1020,79.0909090909091
12,10,12,2,37,36,37,36,38,1009.83333333333,76.25
12,11,11,2,38.4545454545455,37,39,37,40,1051.72727272727,80
12,12,11,2,42,39,44,39,44,970.909090909091,86.3636363636364
12,13,12,2,43.1666666666667,44,42,42,44,1141.91666666667,67.5
12,14,12,2,41.5833333333333,42,41,41,42,1010.83333333333,70.25
12,15,11,2,42.0909090909091,41,42,41,43,1012.72727272727,78.8181818181818
12,16,12,2,40.0833333333333,42,40,39,42,1057.58333333333,75.8333333333333
12,17,11,2,41.2727272727273,40,42,40,43,1024.63636363636,78.1818181818182
12,18,12,2,44.4166666666667,42,45,42,46,997.833333333333,78
12,19,12,2,47.1666666666667,45,48,45,49,972.083333333333,80.4166666666667
12,20,12,2,48.25,48,49,48,49,1046,75.8333333333333
12,21,12,2,46.75,49,46,46,49,1046,72.0833333333333
12,22,12,2,46,46,45,45,47,1078.66666666667,75.25
12,23,12,2,43.8333333333333,45,42,42,45,1096.83333333333,71.6666666666667
12,24,11,2,42.9090909090909,42,44,41,44,1261.72727272727,81.1818181818182
12,25,11,2,43.4545454545455,44,43,43,44,1146.90909090909,70.2727272727273
12,26,11,2,38.4545454545455,43,36,35,43,1013.36363636364,78.7272727272727
12,27,11,2,38.4545454545455,36,40,36,41,1042.18181818182,80
12,28,11,2,40.1818181818182,40,41,39,41,1064.54545454545,77.2727272727273
12,29,12,2,38.25,41,35,35,41,1086.16666666667,64.1666666666667
12,30,11,2,37.4545454545455,35,39,35,40,1165.81818181818,81.5454545454545
12,31,12,2,40.1666666666667,39,41,39,41,1337.58333333333,76.6666666666667
12,32,12,2,40.5,41,39,39,42,1048.5,70
12,33,12,2,37.9166666666667,39,39,37,39,1044.25,72.5
12,34,12,2,39.3333333333333,39,41,38,41,1146.16666666667,78.3333333333333
12,35,12,2,40.25,41,40,39,41,1084.83333333333,76.6666666666667
12,36,12,2,43.3333333333333,40,45,40,45,1123.25,80.8333333333333
12,37,12,2,42.6666666666667,44,43,41,44,1108.25,73.9166666666667
12,38,12,2,41.75,43,40,40,43,989.916666666667,67.0833333333333
12,39,12,2,41.5833333333333,40,43,40,43,889.5,82.0833333333333
12,40,12,2,42.9166666666667,43,43,42,43,886.833333333333,70.8333333333333
12,41,11,2,41.7272727272727,43,40,40,43,1125,74.5454545454545
12,42,12,2,40.0833333333333,40,40,39,41,927.416666666667,71.1666666666667
12,43,11,2,40.5454545454545,40,41,40,41,1148.63636363636,75.9090909090909
12,44,13,2,40.2307692307692,41,40,40,41,1146.38461538462,70.7692307692308
12,45,12,2,39.8333333333333,40,41,39,41,955.833333333333,75.4166666666667
12,46,12,2,38.8333333333333,41,37,37,41,941.583333333333,70.8333333333333
12,47,12,2,37.6666666666667,37,38,37,38,1074.66666666667,79.1666666666667
12,48,12,2,35.3333333333333,38,33,32,38,953.583333333333,71.6666666666667
12,1,16,3,3.125,2,4,2,4,1097.125,81.6875
12,2,10,3,5.9,4,8,4,8,971.6,81
12,3,10,3,10.2,8,13,8,13,860,87.6
12,4,10,3,14.7,13,17,13,17,994.8,86
12,5,11,3,19.9090909090909,17,23,17,23,1067.36363636364,85
12,6,11,3,25.2727272727273,23,28,23,28,1091.45454545455,82.3636363636364
12,7,10,3,30.3,28,32,28,32,952.8,84.5
12,8,11,3,31.9090909090909,29,33,29,34,1068.18181818182,78.7272727272727
12,9,11,3,32.5454545454545,33,32,32,33,1077.09090909091,74.5454545454545
12,10,11,3,32.9090909090909,33,31,31,34,1014.45454545455,72.7272727272727
12,11,11,3,33,31,33,31,35,1041,74.6363636363636
12,12,12,3,31.4166666666667,33,31,30,33,1000.25,72.25
12,13,11,3,31,31,31,30,32,1227.81818181818,72.7272727272727
12,14,11,3,28.9090909090909,31,28,28,31,1122.18181818182,67.2727272727273
12,15,11,3,28,28,28,28,28,993.818181818182,79.5454545454545
12,16,11,3,26.8181818181818,28,25,25,28,1076.54545454545,67.8181818181818
12,17,11,3,26.9090909090909,25,27,25,28,1000.63636363636,81.5454545454545
12,18,12,3,28.0833333333333,27,29,27,29,1067.16666666667,78.75
12,19,11,3,31.6363636363636,29,33,29,33,947.636363636364,80
12,20,13,3,33.4615384615385,33,35,32,36,963.692307692308,70.7692307692308
12,21,11,3,35.3636363636364,35,35,35,36,983.090909090909,73.1818181818182
12,22,11,3,34,35,32,32,35,1148.18181818182,66
12,23,11,3,33.2727272727273,32,34,32,34,1012.63636363636,79.0909090909091
12,24,12,3,35.1666666666667,35,34,34,36,1038.66666666667,67.75
12,25,11,3,33.8181818181818,34,35,33,35,1112.09090909091,80
12,26,11,3,35.3636363636364,35,37,35,37,1060,78.1818181818182
