Subject,Session,GamesPlayed,Version,AvgDifficulty,StartDifficulty,EndDifficulty,MinDifficulty,MaxDifficulty,AvgRT,AvgAccuracy
21,1,14,1,4.14285714285714,2,5,2,5,919.5,84.7142857142857
21,2,8,1,5.25,5,5,4,6,953,75.125
21,3,8,1,4.125,5,3,3,5,927.25,76.5
21,4,9,1,5,3,5,3,6,916.333333333333,82.5555555555556
21,5,9,1,5.55555555555556,5,6,5,6,916.888888888889,79.3333333333333
21,6,8,1,6.25,6,7,5,7,923.375,78.75
21,7,9,1,6.22222222222222,7,6,5,7,855.555555555556,68.6666666666667
21,8,9,1,6.33333333333333,6,6,6,7,885.444444444444,81.1111111111111
21,9,9,1,6.44444444444444,6,7,6,7,888.555555555556,83.6666666666667
21,10,8,1,6.5,7,7,5,7,871.625,80
21,11,8,1,7.125,7,7,7,8,936.375,78.625
21,12,9,1,6.44444444444444,7,6,6,7,957.888888888889,76.5555555555556
21,13,9,1,6.44444444444444,6,6,6,7,863.555555555556,83.4444444444444
21,14,9,1,6.22222222222222,6,6,6,7,947.444444444444,67.4444444444444
21,15,8,1,6,6,6,6,6,958.5,82.5
21,16,8,1,6.5,6,7,6,7,905.875,79.875
21,17,8,1,7.375,7,8,6,9,924.75,78.625
21,18,8,1,7.875,7,8,7,8,983.375,80.875
21,19,10,1,6.2,8,5,5,8,753.1,72.3
21,20,8,1,6.75,5,8,5,8,844.875,83
21,21,8,1,8.25,8,8,8,9,916.5,80.125
21,22,9,1,8,8,7,7,9,882.444444444444,77.6666666666667
21,23,9,1,7.44444444444444,7,7,7,8,1062.22222222222,79.3333333333333
21,24,9,1,6.11111111111111,7,6,5,7,880.333333333333,83.4444444444444
21,25,8,1,7.5,6,8,6,8,971.25,82.125
21,26,9,1,7.33333333333333,8,7,7,8,952.666666666667,83.7777777777778
21,27,9,1,7.22222222222222,7,8,7,8,856.888888888889,80.6666666666667
21,28,9,1,8.22222222222222,8,9,7,9,1095.11111111111,76.4444444444444
21,29,9,1,8.66666666666667,9,9,8,9,1028.66666666667,78.6666666666667
21,30,9,1,8.22222222222222,9,9,7,9,846.666666666667,74.5555555555556
21,31,9,1,8.77777777777778,9,9,8,10,1119.77777777778,75.4444444444444
21,32,9,1,9.22222222222222,9,10,8,10,936.222222222222,77.6666666666667
21,33,9,1,8.22222222222222,10,8,7,10,852.888888888889,80.5555555555556
21,34,8,1,8.25,8,8,8,9,922.25,82
21,35,9,1,8.33333333333333,8,8,8,9,910.444444444444,81.5555555555556
21,36,9,1,8,8,9,7,9,1094.55555555556,79.6666666666667
21,37,17,1,8.17647058823529,9,8,7,9,883.294117647059,82.6470588235294
