Subject,Session,GamesPlayed,Version,AvgDifficulty,StartDifficulty,EndDifficulty,MinDifficulty,MaxDifficulty,AvgRT,AvgAccuracy
24,1,NaN,1,2.94444444444444,NaN,NaN,NaN,NaN,0,0
24,2,9,1,4.88888888888889,5,5,4,5,906.444444444444,72.3333333333333
24,3,8,1,5.125,5,5,5,6,991.875,81.375
24,4,NaN,1,5.5625,NaN,NaN,NaN,NaN,0,0
24,5,8,1,6,6,7,5,7,957.875,81.5
24,6,8,1,6.125,7,5,5,7,1010,79.25
24,7,8,1,6.5,5,6,5,7,963.25,78.625
24,8,9,1,6.44444444444444,6,7,6,7,931.333333333333,77
24,9,8,1,6.75,7,6,6,7,1047.375,80.125
24,10,8,1,6,6,7,5,7,952.5,82
24,11,8,1,6.375,7,7,5,7,904.5,80.5
24,12,9,1,6.77777777777778,7,7,6,7,905.666666666667,79.6666666666667
24,13,8,1,6.125,7,6,6,7,902.5,82.5
24,14,8,1,6.875,6,7,6,7,995.25,79.875
24,15,8,1,7,7,7,7,7,969.625,78
24,16,8,1,7,7,8,6,8,1032.625,80.5
24,17,8,1,7,8,7,6,8,1015.5,79.25
24,18,8,1,7.125,8,6,6,8,968.25,74.375
24,19,6,1,6.16666666666667,6,7,6,7,968,83.3333333333333
24,20,9,1,6.66666666666667,7,6,6,8,847.666666666667,69.1111111111111
24,21,8,1,7.25,6,9,6,9,964.375,86.25
24,22,8,1,8,9,8,7,9,988.375,74.375
24,23,9,1,7.55555555555556,8,8,7,8,998.222222222222,78
24,24,8,1,7.75,8,8,7,8,979.625,78.125
24,25,8,1,7,8,7,6,8,923.5,82.25
24,26,8,1,7.25,7,7,7,8,997.5,85
24,27,8,1,7.625,7,8,7,8,995.5,82.75
24,28,8,1,8.25,8,8,8,9,930.375,77.25
24,29,8,1,8.125,8,9,7,9,1021.125,79.125
24,30,9,1,7.66666666666667,9,7,7,9,968,79.7777777777778
24,31,8,1,7.5,7,8,7,8,1002.875,80.75
24,32,8,1,7.875,8,8,7,9,990.875,80.25
24,33,8,1,7.375,8,7,6,8,999.875,79.25
24,34,8,1,7.5,7,8,7,8,978.375,83.625
24,35,8,1,7.75,8,7,7,8,1033.25,78.875
24,36,8,1,7.75,7,8,7,9,996.875,81.625
24,37,8,1,8,8,8,8,8,1004.375,79.875
24,38,9,1,7.33333333333333,8,6,6,8,982.777777777778,78.7777777777778
24,39,9,1,6.77777777777778,6,8,6,8,899.222222222222,85.1111111111111
24,40,8,1,7.375,8,9,6,9,946.375,81.375
24,41,8,1,8.125,9,8,8,9,912.875,73.5
24,42,8,1,7.375,8,7,7,8,899.75,80.75
24,43,8,1,7.75,7,9,7,9,940.875,84.625
24,44,8,1,9,9,9,9,9,1029,78.125
24,45,9,1,8.33333333333333,9,7,7,9,946.555555555556,79.3333333333333
24,46,8,1,7.625,7,8,7,9,870.5,81.875
24,47,8,1,8,8,8,8,8,874.625,82.875
24,48,8,1,7.875,8,8,7,8,871.75,81.75
24,1,4,2,2.75,2,4,2,4,934.25,100
24,2,8,2,7.125,4,10,4,10,910.125,92.75
24,3,8,2,12.625,10,15,10,15,931.5,86.875
24,4,8,2,14.75,15,15,14,15,919.625,79.375
24,5,7,2,15.1428571428571,15,16,14,16,926,81.1428571428571
24,6,8,2,16.25,16,17,16,17,980.875,84.375
24,7,8,2,15.625,17,15,15,17,955.375,79.625
24,8,8,2,15.75,15,16,15,16,1073.875,81.5
24,9,8,2,16.5,16,17,16,17,903.5,85.5
24,10,8,2,18.5,17,19,17,19,900.125,84.625
24,11,8,2,18.625,19,18,18,19,912.75,80.25
24,12,8,2,17.25,18,16,16,18,885,78.125
24,13,8,2,17.125,16,18,16,18,869.5,84.25
24,14,8,2,18.875,18,19,18,20,981.875,78
24,15,8,2,19.125,19,19,19,20,910.625,84.5
24,16,7,2,18,19,17,17,19,901,76.4285714285714
24,17,8,2,17.125,17,18,17,18,837,84.875
24,18,8,2,18.375,18,18,18,19,869.375,81.25
24,19,8,2,18.25,18,20,17,20,890.5,82.5
24,20,8,2,19.875,20,20,19,20,850,81.75
24,21,8,2,18.875,20,19,18,20,838.375,79.875
24,22,8,2,19.375,19,19,19,20,912.375,80.125
24,23,8,2,19.625,19,19,19,20,891.5,80.125
24,24,9,2,19.4444444444444,19,20,19,20,891.666666666667,73.7777777777778
24,25,8,2,19.75,20,19,19,21,891.125,75.625
24,26,8,2,19.25,19,20,19,20,932.75,85.125
24,27,8,2,21,20,23,20,23,849.75,87
24,28,8,2,21.75,23,21,21,23,937.625,75.625
24,29,8,2,19.25,21,19,18,21,944.625,74.125
24,30,8,2,19,19,19,18,20,955.5,83.375
24,31,10,2,19.6,19,20,18,20,954,82.4
24,32,8,2,19.25,20,19,19,20,938.25,82.375
24,33,8,2,19.125,19,20,19,20,891,85.875
24,34,8,2,20,20,20,20,20,851.375,81
24,35,9,2,20.1111111111111,20,20,20,21,931.666666666667,82
24,36,8,2,20.5,20,20,20,21,922.125,78.875
24,37,8,2,20,20,20,19,21,861.875,81
24,38,8,2,19.75,20,19,19,20,913,75
24,39,8,2,19.625,19,20,19,20,880.125,80.875
24,40,8,2,20.75,20,21,20,21,904.375,83
24,41,8,2,19.875,21,19,19,21,847.25,71
24,42,8,2,19.375,19,20,19,20,995.625,83
24,43,8,2,20,20,20,20,20,865.625,82.75
24,44,8,2,20,20,19,19,21,873.5,75
24,45,8,2,19.125,19,20,18,20,977.625,86.375
24,46,8,2,20.75,21,21,20,21,872,74.625
24,47,8,2,21.375,21,21,21,22,851.375,79
24,48,9,2,21,21,21,21,21,837.666666666667,80.3333333333333
24,1,6,3,2.5,2,4,2,4,1133.16666666667,68.5
24,2,9,3,3.11111111111111,4,3,3,4,975.666666666667,77.4444444444444
24,3,8,3,3.125,3,4,3,4,1144.25,81.5
24,4,8,3,3.625,4,4,3,4,1045.25,83.625
24,5,NaN,3,3.9625,NaN,NaN,NaN,NaN,0,0
24,6,10,3,4.3,4,5,3,5,956.1,81.3
24,7,9,3,5.11111111111111,5,5,5,6,993.666666666667,71.8888888888889
24,8,9,3,4.55555555555556,5,3,3,5,1038.88888888889,77.4444444444444
24,9,8,3,4.375,3,4,3,5,1039.75,84.125
24,10,8,3,4.375,4,4,4,5,1189.25,81.5
24,11,8,3,5.25,4,6,4,6,990.75,85.625
